Time,Temperature,Humidity,Precipitation,VWC_1,pF_1,SoilTemperature_1,VWC_2,pF_2,SoilTemperature_2,VWC_3,pF_3,SoilTemperature_3,VWC_4,pF_4,SoilTemperature_4
2017/4/11 21:00,8.9,90.377,1,48.748,#N/A,#N/A,42.327,2.017,10.3,46.051,2,10.3,39.3,2,10.2
2017/4/11 22:00,8.7,90.718,0,51.375,#N/A,#N/A,42.327,2.016,10.3,46.051,2,10.3,39.3,2,10.2
2017/4/11 23:00,8.6,90.439,1,50.974,#N/A,#N/A,42.403,2.013,10.2,46.051,2,10.3,39.3,2,10.2
2017/4/12 0:00,8.5,91.053,0,48.099,#N/A,#N/A,42.479,2.013,10.2,46.051,2,10.3,39.4,2,10.2
2017/4/12 1:00,8.4,90.765,1,50.774,#N/A,#N/A,42.709,2.013,10.2,46.051,2,10.3,39.9,2,10.2
2017/4/12 2:00,9.1,90.897,0,51.884,#N/A,#N/A,43.019,2.013,10.2,46.137,2,10.3,40.1,2,10.2
2017/4/12 3:00,9.7,88.132,0,60.912,#N/A,#N/A,42.941,2.009,10.2,45.965,2,10.3,39.7,2,10.2
2017/4/12 4:00,9.7,87.3,0,65.566,#N/A,#N/A,42.786,2.009,10.2,46.051,2,10.3,39.4,2,10.2
2017/4/12 5:00,9.3,88.826,1,53.133,#N/A,#N/A,42.786,2.009,10.2,46.137,2,10.3,39.3,2,10.2
2017/4/12 6:00,9.4,88.23,0,56.672,#N/A,#N/A,42.709,2.009,10.2,46.051,2,10.2,39.3,1.998,10.2
2017/4/12 7:00,9.4,86.533,0,59.413,#N/A,#N/A,42.709,2.009,10.2,45.879,2,10.2,39.3,1.996,10.1
2017/4/12 8:00,9.6,83.703,0,53.239,#N/A,#N/A,42.709,2.009,10.2,46.051,2,10.2,39.2,1.995,10.1
2017/4/12 9:00,12.9,69.273,0,47.642,#N/A,#N/A,42.632,2.009,10.2,46.137,2,10.2,39.1,1.995,10.1
2017/4/12 10:00,11,72.419,0,58.561,#N/A,#N/A,42.632,2.009,10.2,46.051,2,10.2,39,1.995,10.1
2017/4/12 11:00,9.9,71.371,0,48.007,#N/A,#N/A,42.632,2.009,10.2,46.137,2,10.2,38.8,1.995,10.1
2017/4/12 12:00,11.8,59.284,0,46.66,#N/A,#N/A,42.479,2.009,10.2,46.137,2,10.2,38.7,1.995,10
2017/4/12 13:00,12.2,54.925,0,48.468,#N/A,#N/A,42.479,2.009,10.2,46.137,2,10.2,38.6,1.995,10
2017/4/12 14:00,11.9,58.176,0,46.748,#N/A,#N/A,42.479,2.007,10.2,46.051,2,10.2,38.4,1.995,10
2017/4/12 15:00,10.9,57.554,0,49.22,#N/A,#N/A,42.479,2.005,10.2,46.051,1.998,10.2,38.2,1.995,10
2017/4/12 16:00,9.5,62.358,0,45.965,#N/A,#N/A,42.479,2.004,10.2,46.051,1.996,10.2,38.1,1.995,10
2017/4/12 17:00,9,63.623,0,46.311,#N/A,#N/A,42.403,2.004,10.2,46.051,1.996,10.2,38,1.995,10
2017/4/12 18:00,8.4,57.182,0,46.573,#N/A,#N/A,42.327,2.004,10.1,45.879,1.995,10.2,37.9,1.995,10
2017/4/12 19:00,5.8,57.489,0,45.879,#N/A,#N/A,42.327,2.004,10.1,45.879,1.995,10.2,37.8,1.995,10
2017/4/12 20:00,3.5,64.969,0,45.369,#N/A,#N/A,42.251,2.004,10.1,45.879,1.995,10.1,37.7,1.995,10
2017/4/12 21:00,3.1,68.143,0,45.965,#N/A,#N/A,42.175,2.004,10.1,45.965,1.995,10.1,37.7,1.995,10
2017/4/12 22:00,1.9,77.071,0,44.455,#N/A,#N/A,42.175,2.004,10.1,45.965,1.995,10.1,37.6,1.995,10
2017/4/12 23:00,1.2,81.038,0,44.455,#N/A,#N/A,42.175,2.004,10.1,45.965,1.995,10.1,37.5,1.993,10.1
2017/4/13 0:00,1.1,81.623,0,44.95,#N/A,#N/A,42.175,2.004,10.1,45.965,1.995,10.1,37.5,1.992,10.1
2017/4/13 1:00,0.9,82.807,0,45.117,#N/A,#N/A,42.175,2.004,10.1,45.965,1.995,10.1,37.4,1.991,10.1
2017/4/13 2:00,1.5,80.779,0,44.95,#N/A,#N/A,42.175,2.004,10.1,45.965,1.995,10.1,37.4,1.991,10.1
2017/4/13 3:00,1.2,81.038,0,44.95,#N/A,#N/A,42.1,2.004,10.1,45.965,1.995,10,37.3,1.991,10
2017/4/13 4:00,1.3,80.457,0,45.033,#N/A,#N/A,42.1,2.004,10.1,45.965,1.995,10,37.2,1.991,10
2017/4/13 5:00,1.6,81.66,0,45.453,#N/A,#N/A,42.025,2.004,10,45.965,1.995,10,37.2,1.991,10
2017/4/13 6:00,1.8,80.499,0,44.95,#N/A,#N/A,42.025,2.004,10,45.965,1.995,10,37.1,1.991,10
2017/4/13 7:00,4,73.79,0,44.95,#N/A,#N/A,42.025,2.004,10,46.051,1.995,10,37.1,1.991,10
2017/4/13 8:00,6.2,68.582,0,45.285,#N/A,#N/A,42.025,2.004,10,46.051,1.995,10,37,1.991,9.9
2017/4/13 9:00,9,62.751,0,45.033,#N/A,#N/A,41.949,2.004,10,46.051,1.995,10,37,1.991,9.9
2017/4/13 10:00,11.1,57.552,0,46.311,#N/A,#N/A,41.875,2.004,10,46.051,1.995,10,36.9,1.991,9.9
2017/4/13 11:00,12.2,59.854,0,47.192,#N/A,#N/A,41.875,2.004,9.9,45.965,1.995,9.9,36.9,1.991,9.8
2017/4/13 12:00,13.8,56.445,0,45.538,#N/A,#N/A,41.875,2.004,9.9,45.965,1.995,9.9,36.8,1.991,9.8
2017/4/13 13:00,14.7,43.079,0,48.561,#N/A,#N/A,41.875,2.004,9.9,45.965,1.995,9.9,36.7,1.991,9.8
2017/4/13 14:00,15.3,38.568,0,50.774,#N/A,#N/A,41.875,2.004,9.9,46.051,1.995,9.9,36.7,1.991,9.7
2017/4/13 15:00,17.1,28.741,0,#N/A,#N/A,#N/A,41.875,2.004,9.8,46.051,1.995,9.8,36.7,1.991,9.7
2017/4/13 16:00,16.9,27.548,0,#N/A,#N/A,#N/A,41.875,2.004,9.8,46.051,1.995,9.8,36.6,1.991,9.6
2017/4/13 17:00,15.7,28.054,0,#N/A,#N/A,#N/A,41.875,2.004,9.8,46.051,1.995,9.8,36.5,1.991,9.6
2017/4/13 18:00,12.1,34.023,0,#N/A,#N/A,#N/A,41.8,2.004,9.7,45.965,1.995,9.7,36.5,1.991,9.6
2017/4/13 19:00,7.1,49.588,0,#N/A,#N/A,#N/A,41.8,2.004,9.7,45.879,1.995,9.7,36.5,1.991,9.6
2017/4/13 20:00,5.4,64.682,0,#N/A,#N/A,#N/A,41.726,2.004,9.7,45.879,1.995,9.7,36.5,1.991,9.6
2017/4/13 21:00,3.8,72.341,0,#N/A,#N/A,#N/A,41.726,2.004,9.7,45.879,1.995,9.7,36.4,1.991,9.6
2017/4/13 22:00,3.6,73.367,0,#N/A,#N/A,#N/A,41.726,2.004,9.7,45.879,1.995,9.6,36.4,1.991,9.6
2017/4/13 23:00,2.9,79.748,0,#N/A,#N/A,#N/A,41.726,2.004,9.7,45.879,1.995,9.6,36.4,1.991,9.6
2017/4/14 0:00,2.9,79.748,0,#N/A,#N/A,#N/A,41.651,2.004,9.7,45.879,1.995,9.6,36.4,1.991,9.6
2017/4/14 1:00,2.3,81.836,0,#N/A,#N/A,#N/A,41.577,2.004,9.7,45.879,1.995,9.6,36.4,1.991,9.6
2017/4/14 2:00,2.6,81.465,0,#N/A,#N/A,#N/A,41.577,2.004,9.7,45.879,1.995,9.6,36.4,1.991,9.6
2017/4/14 3:00,2.1,83.012,0,#N/A,#N/A,#N/A,41.577,2.004,9.7,45.879,1.995,9.6,36.3,1.991,9.6
2017/4/14 4:00,1.8,81.936,0,#N/A,#N/A,#N/A,41.577,2.004,9.7,45.879,1.995,9.6,36.3,1.991,9.6
2017/4/14 5:00,2.8,77.639,0,#N/A,#N/A,#N/A,41.577,2.004,9.7,45.879,1.995,9.6,36.3,1.991,9.6
2017/4/14 6:00,3.2,75.469,0,#N/A,#N/A,#N/A,41.577,2.004,9.7,45.965,1.995,9.6,36.2,1.991,9.6
2017/4/14 7:00,6.4,68.683,0,#N/A,#N/A,#N/A,41.577,2.004,9.7,46.051,1.995,9.6,36.2,1.99,9.6
2017/4/14 8:00,14.6,48.175,0,#N/A,#N/A,#N/A,41.577,2.004,9.7,46.051,1.995,9.6,36.2,1.99,9.6
2017/4/14 9:00,18.2,39.264,0,#N/A,#N/A,#N/A,41.577,2.004,9.7,46.051,1.995,9.6,36.2,1.99,9.6
2017/4/14 10:00,20,38.519,0,#N/A,#N/A,#N/A,41.577,2.004,9.7,46.051,1.995,9.5,36.1,1.988,9.5
2017/4/14 11:00,24.2,30.815,0,#N/A,#N/A,#N/A,41.577,2.004,9.6,46.051,#N/A,#N/A,36.1,1.989,9.5
2017/4/14 12:00,22.6,39.412,0,#N/A,#N/A,#N/A,41.577,2.004,9.6,46.051,#N/A,#N/A,36.1,1.988,9.5
2017/4/14 13:00,23.1,42.484,0,#N/A,#N/A,#N/A,41.577,2.004,9.6,46.051,1.995,9.5,36,1.987,9.5
2017/4/14 14:00,23.2,43.988,0,#N/A,#N/A,#N/A,41.577,2.004,9.6,46.051,1.995,9.5,36,1.987,9.4
2017/4/14 15:00,22.7,44.251,0,#N/A,#N/A,#N/A,41.504,2.004,9.6,45.965,1.995,9.4,35.9,1.987,9.4
2017/4/14 16:00,21,46.275,0,#N/A,#N/A,#N/A,41.43,2.004,9.6,45.965,1.995,9.4,35.9,1.987,9.4
2017/4/14 17:00,17.6,52.212,0,#N/A,#N/A,#N/A,41.43,2.004,9.5,45.879,1.995,9.4,35.9,1.987,9.4
2017/4/14 18:00,15.9,53.178,0,#N/A,#N/A,#N/A,41.43,2.004,9.5,45.793,1.995,9.4,35.9,1.987,9.4
2017/4/14 19:00,14.5,54.548,0,#N/A,#N/A,#N/A,41.43,2.004,9.5,45.879,1.995,9.4,35.9,1.987,9.4
2017/4/14 20:00,14.1,53.491,0,#N/A,#N/A,#N/A,41.43,2.004,9.5,45.879,1.994,9.4,35.9,1.987,9.4
2017/4/14 21:00,11.8,60.73,0,#N/A,#N/A,#N/A,41.43,2.004,9.5,45.879,1.992,9.4,35.9,1.987,9.4
2017/4/14 22:00,10.9,62.158,0,#N/A,#N/A,#N/A,41.43,2.004,9.5,45.879,1.992,9.4,35.9,1.987,9.5
2017/4/14 23:00,10.2,64.324,0,#N/A,#N/A,#N/A,41.356,2.004,9.5,45.879,1.991,9.4,35.9,1.987,9.5
2017/4/15 0:00,9.5,66.572,0,#N/A,#N/A,#N/A,41.356,2.004,9.6,45.879,1.991,9.4,35.8,1.987,9.6
2017/4/15 1:00,7.9,70.427,0,#N/A,#N/A,#N/A,41.283,2.004,9.6,45.879,1.991,9.4,35.8,1.987,9.6
2017/4/15 2:00,8.7,71.151,0,#N/A,#N/A,#N/A,41.283,2.004,9.6,45.879,1.992,9.4,35.8,1.987,9.6
2017/4/15 3:00,7,74.894,0,#N/A,#N/A,#N/A,41.283,2.004,9.6,45.879,1.991,9.4,35.8,1.987,9.7
2017/4/15 4:00,7,75.893,0,#N/A,#N/A,#N/A,41.283,2.004,9.7,45.879,1.991,9.5,35.8,1.987,9.7
2017/4/15 5:00,6.3,75.445,0,#N/A,#N/A,#N/A,41.283,2.004,9.7,45.879,1.992,9.5,35.8,1.987,9.7
2017/4/15 6:00,6.2,77.023,0,#N/A,#N/A,#N/A,41.283,2.004,9.7,45.879,1.992,9.5,35.8,1.987,9.8
2017/4/15 7:00,9.2,70.509,0,#N/A,#N/A,#N/A,41.283,2.004,9.7,45.879,1.992,9.5,35.7,1.987,9.8
2017/4/15 8:00,10.5,68.565,0,#N/A,#N/A,#N/A,41.283,2.004,9.7,45.879,1.992,9.5,35.7,1.987,9.8
2017/4/15 9:00,9.2,78.248,0,#N/A,#N/A,#N/A,41.283,2.004,9.7,45.879,1.992,9.5,35.7,1.987,9.8
2017/4/15 10:00,9.2,84.267,3,#N/A,#N/A,#N/A,41.283,2.004,9.8,45.879,1.992,9.5,35.7,1.987,9.8
2017/4/15 11:00,11.4,83.143,1,#N/A,#N/A,#N/A,41.283,2.004,9.8,45.879,1.992,9.5,35.7,1.987,9.8
2017/4/15 12:00,13.7,75.964,0,#N/A,#N/A,#N/A,41.283,2.004,9.8,45.879,1.991,9.6,35.7,1.987,9.8
2017/4/15 13:00,13,78.175,1,#N/A,#N/A,#N/A,41.283,2.004,9.8,45.879,1.991,9.6,35.7,1.987,9.8
2017/4/15 14:00,12.3,83.946,0,#N/A,#N/A,#N/A,41.283,2.004,9.8,45.879,1.991,9.6,35.7,1.987,9.8
2017/4/15 15:00,13.7,80.432,0,#N/A,#N/A,#N/A,41.283,2.004,9.8,45.879,1.991,9.6,35.7,1.987,9.8
2017/4/15 16:00,14.3,76.134,0,#N/A,#N/A,#N/A,41.283,2.004,9.8,45.879,1.991,9.6,35.8,1.987,9.8
2017/4/15 17:00,15,72.184,0,#N/A,#N/A,#N/A,41.283,2.004,9.8,45.965,1.991,9.6,35.9,1.987,9.8
2017/4/15 18:00,15.6,68.326,0,#N/A,#N/A,#N/A,41.283,2.004,9.8,45.965,1.991,9.6,35.9,1.987,9.8
2017/4/15 19:00,13.2,74.523,0,#N/A,#N/A,#N/A,41.21,2.004,9.8,45.965,1.991,9.6,35.9,1.987,9.8
2017/4/15 20:00,12.6,76.821,0,#N/A,#N/A,#N/A,41.21,2.004,9.8,45.879,1.991,9.6,35.9,1.987,9.8
2017/4/15 21:00,11.5,79.645,0,#N/A,#N/A,#N/A,41.21,2.004,9.8,45.879,1.991,9.6,35.9,1.987,9.8
2017/4/15 22:00,10,84.747,0,#N/A,#N/A,#N/A,41.21,2.004,9.8,45.879,1.991,9.6,35.9,1.987,9.8
2017/4/15 23:00,9,87.154,0,#N/A,#N/A,#N/A,41.137,2.004,9.8,45.879,1.991,9.6,35.9,1.987,9.9
2017/4/16 0:00,7.5,88.779,0,#N/A,#N/A,#N/A,41.137,2.004,9.8,45.879,1.991,9.6,35.9,1.987,9.9
2017/4/16 1:00,8,87.669,0,#N/A,#N/A,#N/A,41.137,2.004,9.8,45.879,1.991,9.6,35.9,1.987,9.9
2017/4/16 2:00,7.3,87.067,0,#N/A,#N/A,#N/A,41.137,2.004,9.8,45.879,1.991,9.6,35.9,1.987,9.9
2017/4/16 3:00,7.3,86.088,0,#N/A,#N/A,#N/A,41.137,2.004,9.8,45.879,1.991,9.6,35.9,1.987,9.9
2017/4/16 4:00,7.1,85.292,0,#N/A,#N/A,#N/A,41.137,2.004,9.8,45.879,1.991,9.6,35.9,1.987,9.9
2017/4/16 5:00,7.5,82.989,0,#N/A,#N/A,#N/A,41.137,2.004,9.8,45.879,1.991,9.6,35.9,1.987,9.9
2017/4/16 6:00,7.5,81.059,0,#N/A,#N/A,#N/A,41.137,2.004,9.9,45.965,1.991,9.6,35.9,1.987,9.9
2017/4/16 7:00,10.2,73.168,0,#N/A,#N/A,#N/A,41.137,2.004,9.9,46.051,1.991,9.6,35.9,1.986,9.9
2017/4/16 8:00,18.4,51.069,0,#N/A,#N/A,#N/A,41.137,2.004,9.9,46.051,1.991,9.6,35.9,1.986,9.9
2017/4/16 9:00,22.2,44.869,0,#N/A,#N/A,#N/A,41.137,2.004,9.9,46.051,1.991,9.6,35.9,1.986,9.9
2017/4/16 10:00,25.4,39.479,0,#N/A,#N/A,#N/A,41.137,2.004,9.9,46.051,1.991,9.7,35.8,1.985,9.9
2017/4/16 11:00,26.6,39.646,0,#N/A,#N/A,#N/A,41.137,2.004,9.9,46.051,1.991,9.7,35.8,1.985,9.9
2017/4/16 12:00,24.4,52.71,0,#N/A,#N/A,#N/A,41.137,2.004,9.9,46.051,1.991,9.7,35.8,1.984,9.9
2017/4/16 13:00,23.6,55.648,0,#N/A,#N/A,#N/A,41.137,2.004,9.9,46.051,1.991,9.7,35.8,1.983,9.9
2017/4/16 14:00,24.2,55.665,0,#N/A,#N/A,#N/A,41.137,2.004,9.9,46.051,1.991,9.7,35.8,1.983,9.9
2017/4/16 15:00,23.5,55.639,0,#N/A,#N/A,#N/A,41.137,2.004,9.9,46.051,1.991,9.7,35.7,1.982,9.9
2017/4/16 16:00,22,59.045,0,#N/A,#N/A,#N/A,41.137,2.004,9.9,46.051,1.991,9.7,35.7,1.982,9.9
2017/4/16 17:00,21.2,59.622,0,#N/A,#N/A,#N/A,41.137,2.004,9.9,46.051,1.991,9.7,35.7,1.982,9.9
2017/4/16 18:00,18.9,63.245,0,#N/A,#N/A,#N/A,41.137,2.004,9.9,46.051,1.991,9.7,35.7,1.982,9.9
2017/4/16 19:00,15.8,70.244,0,#N/A,#N/A,#N/A,41.137,2.004,9.9,45.965,1.991,9.7,35.7,1.982,10
2017/4/16 20:00,14.9,75.013,0,#N/A,#N/A,#N/A,41.065,2.004,9.9,45.965,1.991,9.7,35.7,1.982,10
2017/4/16 21:00,14.4,76.253,0,#N/A,#N/A,#N/A,41.065,2.004,9.9,45.965,1.991,9.7,35.7,1.982,10.1
2017/4/16 22:00,14.1,76.505,0,#N/A,#N/A,#N/A,41.065,2.004,9.9,45.965,1.991,9.7,35.7,1.982,10.2
2017/4/16 23:00,13.7,75.964,0,#N/A,#N/A,#N/A,40.992,2.004,9.9,45.965,1.991,9.7,35.7,1.982,10.2
2017/4/17 0:00,13.5,76.312,0,#N/A,#N/A,#N/A,40.992,2.004,10,45.965,1.991,9.8,35.7,1.982,10.3
2017/4/17 1:00,12.9,78.688,0,#N/A,#N/A,#N/A,40.992,2.004,10,45.965,1.991,9.8,35.7,1.982,10.3
2017/4/17 2:00,11.8,81.696,0,#N/A,#N/A,#N/A,40.992,2.004,10,45.879,1.991,9.8,35.7,1.982,10.4
2017/4/17 3:00,10.6,83.767,0,#N/A,#N/A,#N/A,40.992,2.004,10.2,45.879,1.991,9.9,35.7,1.982,10.4
2017/4/17 4:00,9.6,85.378,0,#N/A,#N/A,#N/A,40.992,2.004,10.2,45.879,1.991,9.9,35.7,1.982,10.5
2017/4/17 5:00,9.1,86.568,0,#N/A,#N/A,#N/A,40.992,2.004,10.2,45.879,1.991,9.9,35.7,1.982,10.5
2017/4/17 6:00,8.4,88.95,0,#N/A,#N/A,#N/A,40.992,2.004,10.3,45.879,1.991,10,35.7,1.982,10.6
2017/4/17 7:00,11.2,88.766,0,#N/A,#N/A,#N/A,40.992,2.004,10.3,45.879,1.991,10,35.7,1.982,10.6
2017/4/17 8:00,18.6,80.32,0,#N/A,#N/A,#N/A,40.992,2.004,10.3,45.965,1.991,10,35.7,1.982,10.6
2017/4/17 9:00,23.5,76.72,0,#N/A,#N/A,#N/A,40.992,2.004,10.3,46.224,1.991,10,35.7,1.982,10.7
2017/4/17 10:00,27,47.423,0,#N/A,#N/A,#N/A,40.992,2.004,10.4,46.224,1.991,10.2,35.6,1.982,10.7
2017/4/17 11:00,25.6,42.365,0,#N/A,#N/A,#N/A,40.992,2.004,10.4,46.137,1.991,10.2,35.6,1.982,10.7
2017/4/17 12:00,27.1,39.055,0,#N/A,#N/A,#N/A,40.992,2.004,10.4,46.224,1.991,10.2,35.6,1.982,10.7
2017/4/17 13:00,28.1,33.943,0,#N/A,#N/A,#N/A,40.992,2.004,10.4,46.224,1.991,10.2,35.6,1.982,10.8
2017/4/17 14:00,27.2,33.835,0,#N/A,#N/A,#N/A,40.992,2.004,10.4,46.137,1.991,10.2,35.6,1.982,10.8
2017/4/17 15:00,25.7,36.358,0,#N/A,#N/A,#N/A,40.992,2.004,10.4,46.137,1.991,10.3,35.6,1.982,10.8
2017/4/17 16:00,23.2,40.469,0,#N/A,#N/A,#N/A,40.992,2.004,10.5,46.137,1.991,10.3,35.6,1.982,10.8
2017/4/17 17:00,22.1,39.877,0,#N/A,#N/A,#N/A,40.992,2.004,10.5,46.137,1.991,10.3,35.6,1.982,10.8
2017/4/17 18:00,20.7,43.448,0,#N/A,#N/A,#N/A,40.992,2.004,10.5,46.051,1.991,10.3,35.6,1.982,10.9
2017/4/17 19:00,18.9,46.746,0,#N/A,#N/A,#N/A,40.992,2.004,10.5,46.137,1.991,10.3,35.6,1.982,10.9
2017/4/17 20:00,16.6,54.036,0,#N/A,#N/A,#N/A,40.992,2.004,10.5,46.051,1.991,10.4,35.5,1.982,10.9
2017/4/17 21:00,14.3,66.924,1,#N/A,#N/A,#N/A,40.992,2.001,10.6,46.137,1.991,10.4,35.6,1.982,11
2017/4/17 22:00,12.8,79.882,2,#N/A,#N/A,#N/A,40.992,2.001,10.6,46.137,1.991,10.4,35.6,1.982,11
2017/4/17 23:00,13.2,82.436,1,#N/A,#N/A,#N/A,40.992,2,10.6,46.224,1.991,10.4,35.6,1.982,11.1
2017/4/18 0:00,13.8,79.277,1,#N/A,#N/A,#N/A,40.992,2,10.7,46.224,1.991,10.5,35.6,1.982,11.1
2017/4/18 1:00,13.7,81.071,1,#N/A,#N/A,#N/A,40.992,2,10.7,46.224,1.991,10.5,35.5,1.982,11.2
2017/4/18 2:00,13.6,84.17,1,#N/A,#N/A,#N/A,40.992,2,10.7,46.224,1.991,10.6,35.5,1.982,11.2
2017/4/18 3:00,13.5,86.66,1,#N/A,#N/A,#N/A,40.992,2,10.7,46.224,1.99,10.6,35.6,1.982,11.2
